,Unnamed: 0,Unnamed: 0.1,맥주이름,맥주스타일,Main Category,Aroma,Flavor,Balance,Season,Paring Food,Body,평점평균,평가횟수
0,0,0,Kloud Original Gravity,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '빵 향', '달콤한 향', '풀잎 향']","['쓴 맛', '상쾌함', '생강 힌트']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '탄산']",2.3010101010101023,99
1,1,2,Asahi Super Dry,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '쌀 향', '풀잎 향']","['쓴 맛', '상쾌함', '쌀 풍미', '약간의 단맛', '약간의 쓴 맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '약간의 매끄러움']",2.1928823826350348,1981
2,2,3,Tsingtao,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '희미한 옥수수향']","['쓴 맛', '상쾌함', '가벼운 맥아 풍미', '옥수수 풍미', '약간의 쓴맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드', '매운 음식']","['드라이', '깔끔함', '가벼움', '가벼운 탄산']",2.058092224231466,2212
3,3,4,Heineken,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '가벼운 스컹스 향', '풀잎 향']","['쓴 맛', '상쾌함', '스컹크 풍미']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '탄산']",2.1590612146140806,4133
4,4,5,Kirin Ichiban,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '가벼운 낱알 몰트 향']","['쓴 맛', '상쾌함', '맥아 풍미']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",2.2249099330931577,1943
5,6,7,Stella Artois,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '매운 향', '플로랄 홉향', '가벼운 향']","['쓴 맛', '상쾌함', '약간의 단맛', '맥아 풍미']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",2.5406364404393162,3551
6,7,11,San Miguel,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '약한 향', '과일향']","['쓴 맛', '상쾌함', '보조 맥아 힌트', '사과 주스 맛']",['미디엄'],"['연중 내내', '더운 여름']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",1.9827225130890058,191
7,8,13,Cass Fresh,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '가벼운 향']","['쓴 맛', '상쾌함', '약간 단맛', '김치에 좋은 맥주']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적당한 탄산']",1.7451388888888901,288
8,9,18,Victoria Bitter,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '스파이시한 향', '약한 빵 향']","['쓴 맛', '상쾌함', '순함', '약한 쓴맛']","['미디엄', '균형']",['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '부드러움', '가벼움', '탄산']",2.0112658227848104,790
9,10,19,Bintang Pilsener,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '가벼운 향']","['쓴 맛', '상쾌함', '약한 달콤한 맥아']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움']",2.03295668549906,531
10,11,24,Suntory The Premium Malt's,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '거친 맥아향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산']",2.671428571428571,182
11,12,27,Tiger Beer,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '달콤한 맥아향']","['쓴 맛', '상쾌함', '옥수수 단맛']","['미디엄', '홉에 의한 밸런스 거의 없음']",['연중 내내'],"['생선 요리', '해산물', '샐러드', '아시아 음식']","['드라이', '깔끔함', '적당한 탄산']",2.1524723676556157,1719
12,13,33,Sapporo Yebisu,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '달콤한 맥아향']","['쓴 맛', '상쾌함', '약한 단맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산화']",2.492528735632184,348
13,14,36,Peroni Nastro Azzurro,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '스컹크 향', '풀잎 향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움']",2.1878181818181828,1650
14,16,51,Holsten Premium Bier,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함', '단 맛']","['미디엄', '크리미']",['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",2.375870069605567,431
15,18,56,Lapin Kulta IV A,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '약한 향', '약한 스컹스 향', '약한 과일향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움']",2.21716621253406,367
16,19,57,Grolsch Premium Lager,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '풀잎 향', '쿠키향', '약한 스컹크 향']","['쓴 맛', '상쾌함']","['미디엄', '크리미']",['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '적당한 탄산화']",2.572767857142858,2240
17,20,59,Castlemaine XXXX Gold Lager,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '과일향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.9412935323383085,201
18,21,61,Löwenbräu Original (4.2%),Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '달콤한 맥아향', '꽃 향기']","['쓴 맛', '상쾌함', '단 맛', '옥수수 맛']","['미디엄', '크리미']","['연중 내내', '봄']","['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움']",1.9115384615384616,26
19,22,63,Harbin Beer,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '옥수수 향']","['쓴 맛', '상쾌함', '단 맛']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '많은 탄산']",2.002416918429001,331
20,23,64,Beck's,Pale Lager - International / Premium,라거,"['고소한 맥아향', '강한 향', '캐러멜향', '창백한 맥아향']","['쓴 맛', '상쾌함', '캐러멜']","['미디엄', '상쾌함']",['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함', '가벼움', '적은 탄산']",2.357392026578072,2408
21,24,1,Kloud Fitz Super Clear,Pale Lager - American,라거,"['고소한 맥아향', '강한 향']","['쓴 맛', '상쾌함']",['미디엄'],['연중 내내'],"['생선 요리', '해산물', '샐러드']","['드라이', '깔끔함']",1.964,25
